date,type,subject,notes
17.11.2021,урок,информатика,дз на доске (должен написать в четверг)
17.11.2021,оплата,,
17.11.2021,оплата,,
17.11.2021,оплата,,
17.11.2021,оплата,,
17.11.2021,оплата,,
17.11.2021,оплата,,
19.11.2021,урок,математика,дз на доске - решение экономиечских задач с оформлением
22.11.2021,урок,математика,дз на доске (экономические задачи 4.7.7-4.7.9)
24.11.2021,урок,информатика,дз на доске (задачи на скорость передачи информации)
26.11.2021,урок,физика,дз - почитать учебник
29.11.2021,урок,математика,дз на доске (неравенства)
01.12.2021,урок,информатика,дз на доске (комбинаторика)
03.12.2021,оплата,,
03.12.2021,оплата,,
03.12.2021,оплата,,
03.12.2021,оплата,,
03.12.2021,оплата,,
03.12.2021,оплата,,
03.12.2021,оплата,,
03.12.2021,оплата,,
03.12.2021,урок,физика,без дз. постоянный ток
06.12.2021,урок,математика,дз на доске (неравенства и параметры)
08.12.2021,урок,информатика,дз на доске (рекурсия и объем информации)
10.12.2021,урок,физика,дз в методичке ЭМ индукция
13.12.2021,урок,математика,дз на доске (неравенства и параметры)
15.12.2021,урок,информатика,Python
17.12.2021,урок,физика,дз в методичке ЭМП
18.11.2021,оплата,,
18.11.2021,оплата,,
18.11.2021,оплата,,
18.11.2021,оплата,,
20.12.2021,урок,математика,дз на доске (параметры)
22.12.2021,урок,информатика,дз на доске (python)
10.01.2022,урок,математика,дз вариант 1 егэ
12.01.2022,урок,информатика,"дз демоверсия все кроме 1,2,8,11,12"
14.01.2022,урок,физика,дз демоверсия все кроме 1 вар 17+
14.01.2022,оплата,,
17.01.2022,оплата,,
17.01.2022,оплата,,
17.01.2022,оплата,,
17.01.2022,оплата,,
17.01.2022,оплата,,
17.01.2022,оплата,,
17.01.2022,оплата,,
17.01.2022,урок,математика,дз демоверсия вар 2 полностью
19.01.2022,урок,информатика,дз демоверсия вторая часть
21.01.2022,урок,физика,дз 2-я часть (1 вар) + 1-я часть (2 вар) с зад. №7
24.01.2022,урок,математика,дз вар 6
26.01.2022,урок,информатика,дз демоверсия 20+ задания
28.01.2022,урок,физика,дз вар 3 полностью
31.01.2022,урок,математика,дз вар 7 полностью
02.02.2022,урок,информатика,дз вар демо №26 и 27
02.02.2022,оплата,,
02.02.2022,оплата,,
02.02.2022,оплата,,
02.02.2022,оплата,,
02.02.2022,оплата,,
02.02.2022,оплата,,
02.02.2022,оплата,,
04.02.2022,урок,физика,дз вар 4
07.02.2022,урок,математика,дз вар 11
09.02.2022,урок,информатика,дз вар 1
11.02.2022,урок,физика,дз вар 5
14.02.2022,урок,математика,дз вар 12
16.02.2022,урок,информатика,дз вар 1 зад 12+
18.02.2022,оплата,,
18.02.2022,оплата,,
18.02.2022,оплата,,
18.02.2022,оплата,,
18.02.2022,оплата,,
18.02.2022,урок,физика,дз вар 6
21.02.2022,урок,математика,дз вар 13
25.02.2022,урок,информатика,дз доделать вар 1 с 19 задания
28.02.2022,урок,математика,дз вар 16
02.03.2022,урок,информатика,дз вар 2
04.03.2022,оплата,,
04.03.2022,оплата,,
04.03.2022,оплата,,
04.03.2022,оплата,,
04.03.2022,оплата,,
04.03.2022,оплата,,
04.03.2022,урок,физика,дз вар 8
07.03.2022,урок,математика,дз вар 17
09.03.2022,урок,информатика,дз вар 1
11.03.2022,урок,физика,дз вар 9
14.03.2022,урок,математика,дз вар 21
16.03.2022,урок,информатика,дз вар 2
18.03.2022,урок,физика,дз вар 10
18.03.2022,оплата,,
18.03.2022,оплата,,
18.03.2022,оплата,,
18.03.2022,оплата,,
18.03.2022,оплата,,
18.03.2022,оплата,,
18.03.2022,оплата,,
21.03.2022,урок,математика,дз вар 3
23.03.2022,урок,информатика,дз вар 3
25.03.2022,урок,физика,дз вар 11
28.03.2022,урок,математика,дз вар 4
30.03.2022,урок,информатика,дз вар 4
01.04.2022,урок,физика,дз вар 12
04.04.2022,оплата,,
04.04.2022,оплата,,
04.04.2022,оплата,,
04.04.2022,оплата,,
04.04.2022,оплата,,
04.04.2022,оплата,,
04.04.2022,урок,математика,дз вар 8
